Jake,Taylor Swift,5
Jake,Brad Paisley, 5
Jake,Father John Misty,3
Jake,Ed Sheeran,3
Jake,Thundercat,1
Clara,Father John Misty,5
Clara,Ed Sheeran,3
Clara,Flying Lotus,4
Clara,Thundercat, 4
Clara,Ariana Grande,5
Kelsey,Taylor Swift,5
Kelsey,Miranda Lambert,5
Kelsey,Brad Paisley, 5
Kelsey,Nicki Minaj,1
Kelsey,Father John Misty,3
Kelsey,Ed Sheeran,3
Angelina,Taylor Swift,2
Angelina,Miranda Lambert,2
Angelina,Brad Paisley, 1
Angelina,Purity Ring, 4
Angelina,Nicki Minaj,4
Angelina,Ariana Grande,5
Angelina,Flying Lotus,3
Jorydyn,Brad Paisley,1
Jordyn,Purity Ring, 4
Jordyn,Father John Misty,5
Jordyn,Nicki Minaj,5
Jordyn,Thundercat,1
